Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
what does the bible say about abortion,Informational,8100,"0.34,0.34,0.34,0.24,0.45,0.45,0.34,0.34,0.55,0.55,0.69,1.00",19,0.05,0.18,11400000
what does the bible say about masturbation,Informational,8100,"1.00,0.29,0.44,0.29,0.36,0.36,0.29,0.36,0.29,0.29,0.29,0.24",22,0.00,0.00,2540000
what does the bible say about masterbation,Informational,6600,"0.81,0.44,0.30,1.00,0.44,0.36,0.81,0.67,0.30,0.23,0.67,0.36",25,0.01,0.07,631000
where in the bible does it say,Informational,5400,"0.54,0.81,0.81,0.44,0.81,0.67,0.54,0.44,0.81,1.00,0.67,0.81",30,0.00,0.00,316000000
what does it say about suicide in the bible,Informational,3600,"0.54,0.00,1.00,0.01,0.01,0.01,0.15,0.10,0.15,0.19,0.81,0.29",19,0.00,0.00,19800000
what does the bible say about judging others,Informational,3600,"0.80,0.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",28,0.28,0.03,6760000
what does the bible say about masturbating,Informational,3600,"0.35,1.00,0.09,0.07,1.00,0.09,0.07,1.00,0.06,0.06,0.06,0.19",20,0.01,0.07,2910000
what does the bible say about putting children before money,Informational,3600,1.00,19,0.00,0.00,36900000
what does the bible say about putting children first,Informational,3600,1.00,7,0.00,0.00,70800000
what does the christian bible say about suicide,Informational,3600,"0.54,1.00,1.00,0.01,0.01,0.00,0.15,0.10,0.15,0.19,0.15,0.29",27,0.00,0.00,9270000
what does the bible say about suicidal,Informational,2900,"0.00,0.00,1.00,0.01,0.01,0.01,0.15,0.10,0.15,0.81,0.15,0.29",27,0.00,0.00,2640000
what does the bible say about sex before marriage,Informational,2400,"0.83,0.83,1.00,0.66,0.83,1.00,0.83,0.54,0.83,0.83,0.66,1.00",16,0.67,0.05,23200000
what the bible says about marriage,Informational,2400,"0.80,0.80,0.80,0.80,0.80,0.27,1.00,0.66,0.80,0.66,0.66,0.66",30,0.55,0.12,94700000
what did the bible say about suicide,Informational,1900,"1.00,0.01,0.03,0.05,0.04,0.02,0.28,0.19,0.28,0.36,0.28,0.54",21,0.00,0.00,17700000
what does the bible say about cheating,Informational,1900,"0.66,1.00,0.66,0.79,0.66,1.00,0.66,0.66,0.79,0.66,0.79,0.66",23,0.41,0.01,12700000
what does the bible say about masterburation,Informational,1900,"0.24,1.00,0.24,0.29,0.29,0.18,0.18,0.10,1.00,0.18,0.16,0.13",25,0.01,0.07,7400000
what does the bible say about tattoos in revelations,Informational,1900,"0.54,0.54,0.79,0.79,0.79,1.00,1.00,1.00,0.79,0.79,0.79,0.66",31,0.32,0.01,797000
what does the bible say about touching yourself,Informational,1900,"1.00,0.66,0.83,0.66,0.83,0.83,0.66,0.66,0.66,0.66,0.54,0.66",20,0.00,0.02,30000000
what does the bible say about weed,Informational,1900,"0.65,0.65,0.82,1.00,0.82,0.82,0.55,0.55,0.55,0.82,0.65,0.65",23,0.01,0.03,7200000
what the bible says about masterbation,Informational,1900,"0.01,0.01,0.01,0.01,0.04,0.07,0.15,1.00,0.15,0.36,0.15,0.00",19,0.01,0.07,592000
a verse from the bible saying that god is real,Informational,1600,1.00,29,0.00,0.00,154000000
bible say to kill pagans,Informational,1600,1.00,15,0.00,0.00,385000
